team,position,total_cap_spend,n_players,avg_cap_per_player,cap_pct
CIN,CB,25707968.0,10,2570796.8,9.207724928366762
CIN,EDGE,29340832.0,7,4191547.4285714286,10.508893982808024
CIN,IDL,53035600.0,9,5892844.444444444,18.995558739255014
CIN,K,4983333.0,1,4983333.0,1.7848613896848136
CIN,LB,13065490.0,10,1306549.0,4.67961676217765
CIN,LS,1008333.0,1,1008333.0,0.36115078796561606
CIN,OG,7866614.0,4,1966653.5,2.8175551575931235
CIN,OT,27375822.0,6,4562637.0,9.805093839541547
CIN,P,1075000.0,1,1075000.0,0.385028653295129
CIN,QB,52408117.0,3,17469372.333333332,18.77081554441261
CIN,RB,10733586.0,7,1533369.4285714286,3.844407593123209
CIN,S,19967463.0,7,2852494.714285714,7.151670128939829
CIN,TE,15725343.0,7,2246477.5714285714,5.632286174785101
CIN,WR,66998349.0,13,5153719.153846154,23.996543338108882
CLE,C,2022544.0,2,1011272.0,0.7244068767908309
CLE,CB,43994495.0,10,4399449.5,15.757340616045845
CLE,EDGE,38687808.0,10,3868780.8,13.85666475644699
CLE,IDL,19620548.0,5,3924109.6,7.027416905444126
CLE,K,1005000.0,1,1005000.0,0.35995702005730656
CLE,LB,11303506.0,8,1412938.25,4.0485336676217765
CLE,LS,1075000.0,1,1075000.0,0.385028653295129
CLE,OG,21567091.0,11,1960644.6363636365,7.724602793696275
CLE,OT,15588797.0,5,3117759.4,5.583380014326647
CLE,P,3259166.0,3,1086388.6666666667,1.1673230659025788
CLE,QB,44460587.0,4,11115146.75,15.924279011461318
CLE,RB,9634031.0,8,1204253.875,3.4505841690544417
CLE,S,16323716.0,6,2720619.3333333335,5.846603151862465
CLE,TE,8123980.0,7,1160568.5714285714,2.9097349570200572
CLE,WR,25550242.0,12,2129186.8333333335,9.151232808022923
DAL,C,2882423.0,2,1441211.5,1.0323864613180516
DAL,CB,30274375.0,10,3027437.5,10.84325752148997
DAL,EDGE,16825234.0,9,1869470.4444444445,6.026229942693409
DAL,IDL,42373199.0,8,5296649.875,15.176647206303725
DAL,K,3400000.0,1,3400000.0,1.2177650429799427
DAL,LB,12138008.0,8,1517251.0,4.347424068767909
DAL,LS,1483333.0,1,1483333.0,0.5312797277936963
DAL,OG,24182194.0,6,4030365.6666666665,8.661244269340974
DAL,OT,17357791.0,7,2479684.4285714286,6.216973853868195
DAL,P,4100000.0,1,4100000.0,1.4684813753581663
DAL,QB,47083430.0,3,15694476.666666666,16.863692693409742
DAL,RB,12022492.0,7,1717498.857142857,4.306050143266476
DAL,S,26264096.0,8,3283012.0,9.4069111747851
DAL,TE,16269777.0,6,2711629.5,5.827284025787965
DAL,WR,60821205.0,12,5068433.75,21.784099212034384
DEN,C,5811446.0,3,1937148.6666666667,2.0814634670487107
DEN,CB,37223060.0,11,3383914.5454545454,13.332041547277937
DEN,EDGE,19879200.0,7,2839885.714285714,7.120057306590258
DEN,IDL,40683602.0,9,4520400.222222222,14.571490687679084
DEN,K,2498666.0,1,2498666.0,0.8949376790830946
DEN,LB,24169809.0,9,2685534.3333333335,8.656808381088824
DEN,LS,2302500.0,2,1151250.0,0.8246776504297995
DEN,OG,31541752.0,6,5256958.666666667,11.29718911174785
DEN,OT,40728814.0,7,5818402.0,14.587684097421203
DEN,P,1048570.0,1,1048570.0,0.37556232091690545
DEN,QB,15076318.0,3,5025439.333333333,5.399827363896848
DEN,RB,13663759.0,7,1951965.5714285714,4.893896489971347
DEN,S,28316665.0,7,4045237.8571428573,10.142071991404011
DEN,TE,23196647.0,7,3313806.714285714,8.308254656160459
DEN,WR,34690985.0,12,2890915.4166666665,12.425137893982809
DET,C,5237696.0,3,1745898.6666666667,1.875965616045845
DET,CB,34761036.0,11,3160094.1818181816,12.450227793696275
DET,EDGE,18202359.0,6,3033726.5,6.519469555873926
DET,IDL,42257487.0,11,3841589.727272727,15.135203080229227
DET,K,1075000.0,1,1075000.0,0.385028653295129
DET,LB,21714812.0,8,2714351.5,7.777511461318051
DET,LS,1075334.0,1,1075334.0,0.38514828080229224
DET,OG,7056879.0,6,1176146.5,2.5275354584527223
DET,OT,41198199.0,7,5885457.0,14.75580193409742
DET,P,3975000.0,1,3975000.0,1.4237106017191976
DET,QB,40288333.0,3,13429444.333333334,14.42991869627507
DET,RB,11471842.0,6,1911973.6666666667,4.108825931232092
DET,S,18233104.0,7,2604729.1428571427,6.530481375358166
DET,TE,15205423.0,6,2534237.1666666665,5.446068409742121
DET,WR,51089180.0,11,4644470.909090909,18.298416905444125
GB,C,8828070.0,3,2942690.0,3.1619161891117478
GB,CB,31760482.0,12,2646706.8333333335,11.375530802292264
GB,EDGE,31769033.0,8,3971129.125,11.378593481375358
GB,IDL,32229444.0,11,2929949.4545454546,11.543497134670487
GB,K,4623398.0,3,1541132.6666666667,1.6559448424068768
GB,LB,20125477.0,7,2875068.1428571427,7.208265401146131
GB,OG,16588594.0,6,2764765.6666666665,5.941473495702006
GB,OT,24337768.0,8,3042221.0,8.716965616045846
GB,P,2350000.0,1,2350000.0,0.8416905444126075
GB,QB,40747044.0,4,10186761.0,14.59421346704871
GB,RB,20789061.0,6,3464843.5,7.445938753581662
GB,S,16761802.0,7,2394543.1428571427,6.0035107449856735
GB,TE,12767283.0,7,1823897.5714285714,4.572809097421204
GB,WR,25578588.0,10,2557858.8,9.161385386819484
HOU,C,8275494.0,3,2758498.0,2.964002148997135
HOU,CB,23213184.0,9,2579242.6666666665,8.3141776504298
HOU,EDGE,35430532.0,6,5905088.666666667,12.690018624641834
HOU,IDL,17482764.0,8,2185345.5,6.261734957020057
HOU,K,5788110.0,1,5788110.0,2.073105300859599
HOU,LB,27499279.0,11,2499934.4545454546,9.849311962750717
HOU,LS,1008333.0,1,1008333.0,0.36115078796561606
HOU,OG,14544265.0,7,2077752.142857143,5.209263968481375
HOU,OT,15598093.0,6,2599682.1666666665,5.586709527220631
HOU,P,1895000.0,2,947500.0,0.6787249283667622
HOU,QB,20730517.0,3,6910172.333333333,7.424970272206304
HOU,RB,9501608.0,7,1357372.5714285714,3.403154727793696
HOU,S,17102821.0,7,2443260.1428571427,6.125652220630372
HOU,TE,16763677.0,6,2793946.1666666665,6.004182306590257
HOU,WR,35799357.0,13,2753796.6923076925,12.822119269340973
IND,C,3239968.0,3,1079989.3333333333,1.1604469914040116
